"","text","tweet_id","tweet_time","tweeter","tweeter_name","GoPackGo","Packers","GBvsNYG","GiantsPride","Giants","Association"
"777","🔥 #GoPackGo https://t.co/YmN0dA8OjP",1201244280687333376,"2019-12-01 20:58:49",784662322623160320,"Packers Fans Germany",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"778","Got to 💚 it people!! #TBLS with the victory formation #GBvsNYG #GoPackGo",1201244273406087168,"2019-12-01 20:58:47",14218414,"Corey Behnke",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"779","9-3 #GoPackGo 🧀🧀🧀",1201244270033854464,"2019-12-01 20:58:46",63862129,"Auggie🧀",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"780","PACKERS WIN!! 🧀🧀🧀

Aaron Rodgers throws 4 Touchdowns, 2 to Davante Adams and the Green Bay Defense picks off Daniel Jones 3 Times as the Packers defeat the Giants 31-13!!

Green Bay is now 9-3 on the season!!

#GoPackGo https://t.co/DQV598fxPI",1201244269706727424,"2019-12-01 20:58:46",3403366834,"Cream City Central",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"781","9-3 😤😤😤 #GoPackGo",1201244269572481024,"2019-12-01 20:58:46",105278000,"Will Lindquist",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"782","@AaronRodgers12 is the baddest man alive!!! 
#GoPackGo #GBvsNYG",1201244268393836544,"2019-12-01 20:58:46",222407564,"Fonzo",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"783","#GoPackGo",1201244264757448704,"2019-12-01 20:58:45",702681528615178240,"Shane Wielepski",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"784","9-3 ✅#GoPackGo",1201244258516262912,"2019-12-01 20:58:43",603983322,"Callum",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"785","good win #gopackgo",1201244246499635200,"2019-12-01 20:58:41",989170771720376320,"DJ 🎯",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"786","Nice to see the future face of the franchise in at QB #GoPackGo",1201244245593657344,"2019-12-01 20:58:40",563389354,"Jt",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"787","#PACKERS WIN!!!

Green Bay improves to 9-3 on the season! 

#GBvsNYG | #GoPackGo https://t.co/kIZcQXvzUe",1201244243509035008,"2019-12-01 20:58:40",35865630,"Green Bay Packers",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"788","9-3 💚💛 #GoPackGo #GBvsNYG #ranNFL",1201244232951959552,"2019-12-01 20:58:37",90151188,"Marxsen",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"789","9-3!!! What a performance by the Packers! 4 TDs for Rodgers, the defense had 3 picks, and JK Scott had some nasty punts! Back home to Lambeau! Time to get back to work for next Sunday’s game against Washington! #GoPackGo https://t.co/jleqObTpJ7",1201244226509512704,"2019-12-01 20:58:36",2704382713,"Ashley Sanders",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"790","#GoPackGo 9-3 🧀",1201244197333934080,"2019-12-01 20:58:29",222242649,"Fadey",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"791","31-13 win the Packers are now 9-3 #GoPackGo",1201244182133772288,"2019-12-01 20:58:25",709106969328685056,"Erik",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"792","PACKERS 2019 REGULAR SEASON

✅ ✅ ✅ ❌ ✅ ✅ ✅ ✅ ❌ ✅ 👋

❌ ✅ ⬜️ ⬜️ ⬜️ ⬜️ 

#GoPackGo #Packers #GBvsNYG",1201244176442150912,"2019-12-01 20:58:24",1083320348773359616,"🏈 PackersDE 🏈",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"793","9-3 baby. #GoPackGo",1201244169840271360,"2019-12-01 20:58:22",433556223,"Chicharita",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"794","Tim BOYLE em campo.

#GoPackGo
#GBvsNYG",1201244162160570368,"2019-12-01 20:58:20",919978301212577792,"Lambeau Leapers BR 🧀",TRUE,FALSE,TRUE,FALSE,FALSE,"PackersTweets"
"795","9-3

#GoPackGo",1201244146687709184,"2019-12-01 20:58:17",8623342,"Sean",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"796","Tim Fricken Boyle in for the Packers #GoPackGo",1201244143881723904,"2019-12-01 20:58:16",36724908,"catherine mchugh",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"797","Damnnn Rightttt #GoPackGo 💕💕💕 https://t.co/hEusKjT7tG",1201244132661968896,"2019-12-01 20:58:13",843044388313976832,"ᴍʀꜱ ᴄʟᴀᴜꜱᴇ #ᴘᴀʀᴏᴅʏ",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"798","Great veteran voice in the locker room. Glad he got a TD today. #GoPackGo https://t.co/Lx9rbFfwTb",1201244131873480704,"2019-12-01 20:58:13",20070101,"Marcus Wiegert",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"799","Go Pack Go! 💚🏈💛 #win #gopackgo #packers #myteam #love #football #sunday #greenandgold #cuppyandlovedoll #greenbay https://t.co/HesJmkyCLS",1201244130665480192,"2019-12-01 20:58:13",72650624,"Lins",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"800","Aaron Rodgers today 🔥 

21/33, 243 yards, 4 TD’s. 

#GoPackGo",1201244128786419712,"2019-12-01 20:58:12",4656272179,"GBP Daily",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"801","9-3! #GoPackGo",1201244127456899072,"2019-12-01 20:58:12",86975353,"Jenn Lee",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"802","Big bounce back win, really needed it. Washington coming to Lambeau next week, before 3 divisional games to close out the year (Wk 16 @ Minny) #GoPackGo",1201244125846106112,"2019-12-01 20:58:12",175913575,"🎄🎅santa patrick_ ⛄️❄️",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"803","Boyle! #GoPackGo",1201244122444697600,"2019-12-01 20:58:11",21486053,"Rain to the MC",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"804","We have a good chance to be 10-3 after next week. 

We have ALOT to work. ALOT to work on. We have to be better or we are in trouble, it’s nice to get that W this week though. 

#GoPackGo",1201244121064718336,"2019-12-01 20:58:11",913579595303129088,"nick w 3",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"805","Go Pack Go #GoPackGo",1201244117122068480,"2019-12-01 20:58:10",195071552,"...something",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"806","And the New York crowd could be heard chanting ""Go Pack Go!""....and it was good.

#GoPackGo https://t.co/lzAMji7Xf9",1201244065142063104,"2019-12-01 20:57:57",1433784817,"Psychic Packer Fan",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"807","Me when the @packers win in the snow. #GoPackGo https://t.co/4j4lvOxiNF",1201244047916044288,"2019-12-01 20:57:53",1854770095,"Ben Voytas",TRUE,TRUE,FALSE,FALSE,FALSE,"PackersTweets"
"808","#TBT 

Which famously stands for Tim Boyle Time #GoPackGo",1201244044929748992,"2019-12-01 20:57:53",1190417211007090688,"RAGUingStuff",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"809","Hell Yeah!!!#GoPackGo 💚💛💚💛",1201244044602564608,"2019-12-01 20:57:52",63509310,"Patti",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"810","Big shout out to my son for texting me live updates + some unsolicited color commentary of the Packers-Giants game while I’m on the road for work. I think he’s got a future with @cheeseheadtv! #GoPackGo https://t.co/GgkuDip2PU",1201244033412161536,"2019-12-01 20:57:50",948071352,"Vince Lowery",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"811","My 2¢ on the game. The second half @packers looked a little more cohesive. The ST looked 💯% better today. The lack of communication in our backfield is embarrassing and really needs some discipline. Still a great “W” though. #PackersFamily #GoPackGo #GBvsNYG #NFL100",1201244030362800128,"2019-12-01 20:57:49",922295400,"🚒 Curt Cozad 👨🏼‍🚒",TRUE,TRUE,TRUE,FALSE,FALSE,"PackersTweets"
"812","9-3 #GoPackGo",1201244027699499008,"2019-12-01 20:57:48",377385940,"*",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"813","Not the best performance, but I'll take it. Now I need Seattle to win tomorrow #GoPackGo",1201244026210533376,"2019-12-01 20:57:48",241150874,"N00bmaster69",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"814","Daniel Jones avoided throwing towards Jaire Alexander at pretty much all costs today. 
One big reason Jaire doesn't get a lot of interceptions is because he simply isn't being thrown at. 
@JaireAlexander locking guys up out there. 
#Packers #GoPackGo",1201244017247297536,"2019-12-01 20:57:46",1169412979693150208,"Green & Bold",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"815","TFB time! @timboyle_7 #GoPackGo",1201243958266826752,"2019-12-01 20:57:32",335048187,"Mike Millburn",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"816","9-3.

📸 Evan Siegle and the Green Bay Packers #Packers #GreenBayPackers #GoPackGo #GreenBay #Wisconsin #Lambeau #Lombardi #Football #Packersfootball #Packers4Life #GreenandGold #Cheese #Cheesehead #Cheeseheads #NFL #PackersGiants #LombardiTrophy #Packers100 #100Seasons https://t.co/Tm9I9twD6U",1201243949517737984,"2019-12-01 20:57:30",1056225270200438784,"Lombardi’s Legends",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"817","TBLS time @AaronNagler  #GoPackGo",1201243948917952512,"2019-12-01 20:57:30",467989790,"Josh DeGrave",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"818","#GoPackGo",1201243914033741824,"2019-12-01 20:57:21",137352133,"NatureLover",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"819","@FirstLadyWays n Her Crew #GoPackGo https://t.co/3C6qeOswQq",1201243894626824192,"2019-12-01 20:57:17",792138180023549952,"♡Fearless Bytch♡ {Parody}",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
"820","#GoPackGo",1201243880924090368,"2019-12-01 20:57:13",1028079062219149312,"Tima",TRUE,FALSE,FALSE,FALSE,FALSE,"PackersTweets"
