yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1882,Rutgers,Ind,6,4,0,0.6,0,0,0,0,2.1,2.2,Ind
1882,Dartmouth,Ind,1,1,0,0.5,0,0,0,0,2.5,4,Ind
1882,Stevens,Ind,1,1,1,0.5,0,0,0,0,1,1,Ind
1882,Pennsylvania,Ind,2,4,0,0.333,0,0,0,0,1,3.5,Ind
1882,Amherst,Ind,1,3,0,0.25,0,0,0,0,0.5,2.8,Ind
1882,Columbia,Ind,0,5,0,0,0,0,0,0,0,5.2,Ind
1882,Lafayette,Ind,0,2,0,0,0,0,0,0,0,4.5,Ind
1882,Massachusetts,Ind,0,3,0,0,0,0,0,0,0,5.3,Ind
1882,MIT,Ind,0,3,0,0,0,0,0,0,0,3.3,Ind
1883,Yale,Ind,9,0,0,1,0,0,0,0,60,0.2,Ind
1883,Harvard,Ind,8,2,0,0.8,0,0,0,0,13.5,6.3,Ind
1883,Princeton,Ind,7,1,0,0.875,0,0,0,0,29.8,3.3,Ind
1883,Pennsylvania,Ind,6,2,1,0.722,0,0,0,0,22.6,7.4,Ind
1883,Stevens,Ind,6,4,1,0.591,0,0,0,0,16.6,10.9,Ind
1883,Lafayette,Ind,2,4,0,0.333,0,0,0,0,18.3,21,Ind
1883,Wesleyan (CT),Ind,3,5,0,0.375,0,0,0,0,9.9,28.1,Ind
1883,Columbia,Ind,1,3,0,0.25,0,0,0,0,3.3,36.8,Ind
1883,Michigan,Ind,1,4,0,0.2,0,0,0,0,9.4,18.2,Ind
1883,Rutgers,Ind,1,6,0,0.143,0,0,0,0,7.7,36.4,Ind
1884,Princeton,Ind,9,0,1,0.95,0,0,0,0,40.6,1.3,Ind
1884,Yale,Ind,8,0,1,0.944,0,0,0,0,55,1.1,Ind
1884,Pennsylvania,Ind,5,1,1,0.786,0,0,0,0,16.9,8.4,Ind
1884,Harvard,Ind,7,4,0,0.636,0,0,0,0,25.5,10.8,Ind
1884,Rutgers,Ind,3,4,0,0.429,0,0,0,0,19.6,24.3,Ind
1884,Stevens,Ind,4,5,0,0.444,0,0,0,0,12.1,23,Ind
1884,Wesleyan (CT),Ind,3,5,0,0.375,0,0,0,0,9,22,Ind
1884,Lafayette,Ind,2,5,0,0.286,0,0,0,0,12.6,37.3,Ind
1884,Lehigh,Ind,0,4,0,0,0,0,0,0,4,45.3,Ind
1885,Princeton,Ind,9,0,0,1,0,0,0,0,59.9,2.8,Ind
1885,Yale,Ind,7,1,0,0.875,0,0,0,0,45.8,1.4,Ind
1885,Pennsylvania,Ind,8,5,0,0.615,0,0,0,0,27.3,26.4,Ind
1885,Lafayette,Ind,2,2,2,0.5,0,0,0,0,12.8,20,Ind
1885,Wesleyan (CT),Ind,3,4,0,0.429,0,0,0,0,23.6,34.9,Ind
1885,Stevens,Ind,3,6,0,0.333,0,0,0,0,34.1,32.3,Ind
1885,Lehigh,Ind,1,4,2,0.286,0,0,0,0,4,20.6,Ind
1886,Princeton,Ind,7,0,1,0.938,0,0,0,0,40,3.4,Ind
1886,Yale,Ind,9,0,1,0.95,0,0,0,0,68.7,0.4,Ind
1886,Harvard,Ind,12,2,0,0.857,0,0,0,0,54.6,2.9,Ind
1886,Lafayette,Ind,10,2,0,0.833,0,0,0,0,17.6,6.3,Ind
1886,Williams,Ind,5,1,1,0.786,0,0,0,0,22.1,13.7,Ind
1886,Dartmouth,Ind,2,2,0,0.5,0,0,0,0,28.3,23.5,Ind
1886,Lehigh,Ind,4,3,1,0.563,0,0,0,0,11.3,5.8,Ind
1886,Pennsylvania,Ind,9,7,1,0.559,0,0,0,0,20.2,16.8,Ind
1886,Amherst,Ind,3,4,0,0.429,0,0,0,0,7.9,14.7,Ind
1886,MIT,Ind,2,6,1,0.278,0,0,0,0,7.6,36.1,Ind
1886,Rutgers,Ind,1,3,0,0.25,0,0,0,0,17.5,29.8,Ind
1886,Wesleyan (CT),Ind,2,6,0,0.25,0,0,0,0,9.9,49.6,Ind
1886,Stevens,Ind,0,7,1,0.063,0,0,0,0,0.8,36.8,Ind
1886,Tufts,Ind,0,9,0,0,0,0,0,0,3.7,34.7,Ind
1887,Yale,Ind,9,0,0,1,0,0,0,0,57.2,1.3,Ind
1887,Harvard,Ind,10,1,0,0.909,0,0,0,0,60,2.1,Ind
1887,MIT,Ind,5,1,0,0.833,0,0,0,0,34.3,12.8,Ind
1887,Dartmouth,Ind,3,1,1,0.7,0,0,0,0,37.8,5.6,Ind
1887,Lafayette,Ind,7,2,0,0.778,0,0,0,0,15.7,7.4,Ind
1887,Princeton,Ind,7,2,0,0.778,0,0,0,0,46.7,2.7,Ind
1887,Lehigh,Ind,4,3,0,0.571,0,0,0,0,13.7,15.1,Ind
1887,Trinity (CT),Ind,3,3,1,0.5,0,0,0,0,13.4,31.4,Ind
1887,Williams,Ind,3,3,0,0.5,0,0,0,0,28.7,25,Ind
1887,Amherst,Ind,4,6,0,0.4,0,0,0,0,9.8,32,Ind
1887,Pennsylvania,Ind,6,7,0,0.462,0,0,0,0,10.5,25.8,Ind
1887,Wesleyan (CT),Ind,4,5,0,0.444,0,0,0,0,13.8,45.4,Ind
1887,Tufts,Ind,3,6,0,0.333,0,0,0,0,8.1,32.1,Ind
1887,Rutgers,Ind,2,6,0,0.25,0,0,0,0,5.9,23.4,Ind
1887,Stevens,Ind,0,6,1,0.071,0,0,0,0,2.3,15.3,Ind
1888,Yale,Ind,13,0,0,1,0,0,0,0,53.4,0,Ind
1888,Harvard,Ind,12,1,0,0.923,0,0,0,0,48.2,2.5,Ind
1888,Princeton,Ind,11,1,0,0.917,0,0,0,0,50.8,1.3,Ind
1888,Lehigh,Ind,10,2,0,0.833,0,0,0,0,20.7,9.9,Ind
1888,Trinity (CT),Ind,5,1,1,0.786,0,0,0,0,17.7,1.4,Ind
1888,Cornell,Ind,4,2,0,0.667,0,0,0,0,16,3.3,Ind
1888,Lafayette,Ind,6,3,0,0.667,0,0,0,0,14,8.7,Ind
1888,Pennsylvania,Ind,9,7,0,0.563,0,0,0,0,17.4,18.5,Ind
1888,Williams,Ind,4,4,0,0.5,0,0,0,0,21.4,13,Ind
1888,Bucknell,Ind,2,3,0,0.4,0,0,0,0,5.6,32,Ind
1888,Dartmouth,Ind,3,4,0,0.429,0,0,0,0,17.1,19.4,Ind
1888,Amherst,Ind,2,8,1,0.227,0,0,0,0,9.4,38.7,Ind
1888,MIT,Ind,2,5,0,0.286,0,0,0,0,9.4,27.4,Ind
1888,Stevens,Ind,2,7,1,0.25,0,0,0,0,6.6,29.1,Ind
1888,Wesleyan (CT),Ind,2,7,0,0.222,0,0,0,0,9.6,41.9,Ind
1888,WPI,Ind,1,4,0,0.2,0,0,0,0,2.8,34,Ind
1888,Rutgers,Ind,1,6,1,0.188,0,0,0,0,4.5,40.9,Ind
1888,Swarthmore,Ind,0,5,0,0,0,0,0,0,2.8,26,Ind
1889,Princeton,Ind,10,0,0,1,0,0,0,0,48.4,2.9,Ind
1889,Yale,Ind,16,1,0,0.941,0,0,0,0,39.1,1.8,Ind
1889,Dartmouth,Ind,7,1,0,0.875,0,0,0,0,29.9,9,Ind
1889,Harvard,Ind,9,2,0,0.818,0,0,0,0,38.1,4.8,Ind
1889,Cornell,Ind,7,2,0,0.778,0,0,0,0,39.4,14.4,Ind
1889,Dickinson,Ind,4,1,1,0.75,0,0,0,0,12.5,7,Ind
1889,Franklin & Marshall,Ind,5,1,1,0.786,0,0,0,0,26.9,3.7,Ind
1889,Lehigh,Ind,8,3,2,0.692,0,0,0,0,27.4,6.8,Ind
1889,Trinity (CT),Ind,5,3,1,0.611,0,0,0,0,14.4,9.7,Ind
1889,MIT,Ind,3,3,0,0.5,0,0,0,0,14.3,23.5,Ind
